"lsoa11cd","lsoa11nm","measure","value"
"E01005943","Tameside 007C","Households with lone parent not in employment",21
"E01005944","Tameside 007D","Households with lone parent not in employment",5
"E01006060","Tameside 008A","Households with lone parent not in employment",39
"E01006064","Tameside 008B","Households with lone parent not in employment",35
"E01006065","Tameside 008C","Households with lone parent not in employment",58
"E01006066","Tameside 008D","Households with lone parent not in employment",29
"E01006067","Tameside 009A","Households with lone parent not in employment",8
"E01006068","Tameside 009B","Households with lone parent not in employment",18
"E01006069","Tameside 009C","Households with lone parent not in employment",54
"E01006073","Tameside 009D","Households with lone parent not in employment",46
"E01005993","Tameside 010A","Households with lone parent not in employment",10
"E01005995","Tameside 010B","Households with lone parent not in employment",7
"E01005996","Tameside 010C","Households with lone parent not in employment",34
"E01005997","Tameside 010D","Households with lone parent not in employment",22
"E01006000","Tameside 010E","Households with lone parent not in employment",25
"E01005994","Tameside 011A","Households with lone parent not in employment",20
"E01005999","Tameside 011B","Households with lone parent not in employment",54
"E01006002","Tameside 011C","Households with lone parent not in employment",24
"E01006004","Tameside 011D","Households with lone parent not in employment",11
"E01006005","Tameside 011E","Households with lone parent not in employment",38
"E01006007","Tameside 011F","Households with lone parent not in employment",20
"E01005998","Tameside 012A","Households with lone parent not in employment",23
"E01006001","Tameside 012B","Households with lone parent not in employment",23
"E01006003","Tameside 012C","Households with lone parent not in employment",18
"E01006006","Tameside 012D","Households with lone parent not in employment",17
"E01005948","Tameside 013A","Households with lone parent not in employment",31
"E01005950","Tameside 013B","Households with lone parent not in employment",37
"E01005951","Tameside 013C","Households with lone parent not in employment",42
"E01005952","Tameside 013D","Households with lone parent not in employment",56
"E01005953","Tameside 013E","Households with lone parent not in employment",43
"E01005961","Tameside 014A","Households with lone parent not in employment",11
"E01005962","Tameside 014B","Households with lone parent not in employment",10
"E01005968","Tameside 014C","Households with lone parent not in employment",8
"E01005969","Tameside 014D","Households with lone parent not in employment",9
"E01006022","Tameside 015A","Households with lone parent not in employment",7
"E01006023","Tameside 015B","Households with lone parent not in employment",23
"E01006070","Tameside 015C","Households with lone parent not in employment",9
"E01006071","Tameside 015D","Households with lone parent not in employment",1
"E01006072","Tameside 015E","Households with lone parent not in employment",5
"E01006009","Tameside 016A","Households with lone parent not in employment",15
"E01006017","Tameside 016B","Households with lone parent not in employment",2
"E01006018","Tameside 016C","Households with lone parent not in employment",3
"E01006021","Tameside 016D","Households with lone parent not in employment",9
"E01006008","Tameside 017A","Households with lone parent not in employment",25
"E01006010","Tameside 017B","Households with lone parent not in employment",27
"E01006012","Tameside 017C","Households with lone parent not in employment",22
"E01006015","Tameside 017D","Households with lone parent not in employment",5
"E01006016","Tameside 017E","Households with lone parent not in employment",41
"E01006011","Tameside 018A","Households with lone parent not in employment",31
"E01006013","Tameside 018B","Households with lone parent not in employment",8
"E01006014","Tameside 018C","Households with lone parent not in employment",35
"E01006019","Tameside 018D","Households with lone parent not in employment",23
"E01006020","Tameside 018E","Households with lone parent not in employment",29
"E01005963","Tameside 019A","Households with lone parent not in employment",12
"E01005964","Tameside 019B","Households with lone parent not in employment",17
"E01005965","Tameside 019C","Households with lone parent not in employment",41
"E01005966","Tameside 019D","Households with lone parent not in employment",27
"E01005967","Tameside 019E","Households with lone parent not in employment",25
"E01006031","Tameside 020A","Households with lone parent not in employment",33
"E01006032","Tameside 020B","Households with lone parent not in employment",26
"E01006033","Tameside 020C","Households with lone parent not in employment",36
"E01006034","Tameside 020D","Households with lone parent not in employment",55
"E01006035","Tameside 020E","Households with lone parent not in employment",25
"E01006036","Tameside 020F","Households with lone parent not in employment",48
"E01005970","Tameside 021A","Households with lone parent not in employment",1
"E01005972","Tameside 021B","Households with lone parent not in employment",43
"E01005974","Tameside 021C","Households with lone parent not in employment",30
"E01005975","Tameside 021D","Households with lone parent not in employment",27
"E01006024","Tameside 022A","Households with lone parent not in employment",7
"E01006026","Tameside 022B","Households with lone parent not in employment",11
"E01006037","Tameside 022C","Households with lone parent not in employment",0
"E01006038","Tameside 022D","Households with lone parent not in employment",17
"E01006047","Tameside 023A","Households with lone parent not in employment",18
"E01006048","Tameside 023B","Households with lone parent not in employment",2
"E01006049","Tameside 023C","Households with lone parent not in employment",23
"E01006051","Tameside 023D","Households with lone parent not in employment",19
"E01005985","Tameside 024A","Households with lone parent not in employment",7
"E01005987","Tameside 024B","Households with lone parent not in employment",3
"E01005988","Tameside 024C","Households with lone parent not in employment",6
"E01005990","Tameside 024D","Households with lone parent not in employment",6
"E01005991","Tameside 024E","Households with lone parent not in employment",10
"E01005971","Tameside 025A","Households with lone parent not in employment",28
"E01005986","Tameside 025B","Households with lone parent not in employment",15
"E01005989","Tameside 025C","Households with lone parent not in employment",3
"E01005992","Tameside 025D","Households with lone parent not in employment",25
"E01005973","Tameside 026A","Households with lone parent not in employment",10
"E01005976","Tameside 026B","Households with lone parent not in employment",28
"E01005977","Tameside 026C","Households with lone parent not in employment",6
"E01005978","Tameside 026D","Households with lone parent not in employment",33
"E01006025","Tameside 027A","Households with lone parent not in employment",50
"E01006027","Tameside 027B","Households with lone parent not in employment",52
"E01006050","Tameside 027C","Households with lone parent not in employment",84
"E01006052","Tameside 027D","Households with lone parent not in employment",27
"E01006028","Tameside 028A","Households with lone parent not in employment",46
"E01006029","Tameside 028B","Households with lone parent not in employment",28
"E01006030","Tameside 028C","Households with lone parent not in employment",33
"E01006039","Tameside 028D","Households with lone parent not in employment",16
"E01006040","Tameside 028E","Households with lone parent not in employment",25
"E01006041","Tameside 028F","Households with lone parent not in employment",20
"E01005979","Tameside 029A","Households with lone parent not in employment",18
"E01005980","Tameside 029B","Households with lone parent not in employment",30
"E01005981","Tameside 029C","Households with lone parent not in employment",29
"E01005982","Tameside 029D","Households with lone parent not in employment",32
"E01005983","Tameside 029E","Households with lone parent not in employment",14
"E01005984","Tameside 029F","Households with lone parent not in employment",42
"E01006042","Tameside 030A","Households with lone parent not in employment",17
"E01006043","Tameside 030B","Households with lone parent not in employment",16
"E01006044","Tameside 030C","Households with lone parent not in employment",4
"E01006045","Tameside 030D","Households with lone parent not in employment",4
"E01006046","Tameside 030E","Households with lone parent not in employment",6
"E01006109","Trafford 001A","Households with lone parent not in employment",41
"E01006110","Trafford 001B","Households with lone parent not in employment",34
"E01006111","Trafford 001C","Households with lone parent not in employment",46
"E01006112","Trafford 001D","Households with lone parent not in employment",32
"E01006185","Trafford 001E","Households with lone parent not in employment",40
"E01006188","Trafford 001F","Households with lone parent not in employment",17
"E01006116","Trafford 002A","Households with lone parent not in employment",7
"E01006117","Trafford 002B","Households with lone parent not in employment",8
"E01006118","Trafford 002C","Households with lone parent not in employment",14
"E01006119","Trafford 002D","Households with lone parent not in employment",4
"E01006121","Trafford 002E","Households with lone parent not in employment",14
"E01006141","Trafford 003A","Households with lone parent not in employment",26
"E01006186","Trafford 003B","Households with lone parent not in employment",44
"E01006187","Trafford 003C","Households with lone parent not in employment",41
"E01006189","Trafford 003D","Households with lone parent not in employment",41
"E01006113","Trafford 004A","Households with lone parent not in employment",12
"E01006114","Trafford 004B","Households with lone parent not in employment",28
"E01006115","Trafford 004C","Households with lone parent not in employment",22
"E01006145","Trafford 004D","Households with lone parent not in employment",43
"E01006146","Trafford 004E","Households with lone parent not in employment",29
"E01006122","Trafford 005A","Households with lone parent not in employment",5
"E01006123","Trafford 005B","Households with lone parent not in employment",20
"E01006124","Trafford 005C","Households with lone parent not in employment",3
"E01006128","Trafford 005D","Households with lone parent not in employment",7
"E01006131","Trafford 005E","Households with lone parent not in employment",8
"E01006155","Trafford 006A","Households with lone parent not in employment",12
"E01006157","Trafford 006B","Households with lone parent not in employment",18
"E01006159","Trafford 006C","Households with lone parent not in employment",54
"E01006182","Trafford 006D","Households with lone parent not in employment",9
"E01006183","Trafford 006E","Households with lone parent not in employment",10
"E01006125","Trafford 007A","Households with lone parent not in employment",10
"E01006126","Trafford 007B","Households with lone parent not in employment",41
"E01006127","Trafford 007C","Households with lone parent not in employment",16
"E01006130","Trafford 007D","Households with lone parent not in employment",6
"E01006132","Trafford 007E","Households with lone parent not in employment",5
"E01006156","Trafford 008A","Households with lone parent not in employment",27
"E01006158","Trafford 008B","Households with lone parent not in employment",33
"E01006179","Trafford 008C","Households with lone parent not in employment",19
"E01006184","Trafford 008D","Households with lone parent not in employment",23
"E01006198","Trafford 009A","Households with lone parent not in employment",14
"E01006199","Trafford 009B","Households with lone parent not in employment",23
"E01006200","Trafford 009C","Households with lone parent not in employment",11
"E01006201","Trafford 009D","Households with lone parent not in employment",11
"E01006202","Trafford 009E","Households with lone parent not in employment",7
"E01006120","Trafford 010A","Households with lone parent not in employment",5
"E01006129","Trafford 010B","Households with lone parent not in employment",9
"E01006133","Trafford 010C","Households with lone parent not in employment",2
"E01006197","Trafford 010D","Households with lone parent not in employment",8
"E01006203","Trafford 010E","Households with lone parent not in employment",1
"E01006142","Trafford 011A","Households with lone parent not in employment",29
"E01006143","Trafford 011B","Households with lone parent not in employment",10
"E01006144","Trafford 011C","Households with lone parent not in employment",47
"E01006180","Trafford 011D","Households with lone parent not in employment",25
"E01006181","Trafford 011E","Households with lone parent not in employment",16
"E01006147","Trafford 012A","Households with lone parent not in employment",2
"E01006149","Trafford 012B","Households with lone parent not in employment",8
"E01006150","Trafford 012C","Households with lone parent not in employment",6
"E01006154","Trafford 012D","Households with lone parent not in employment",1
"E01006165","Trafford 012E","Households with lone parent not in employment",15
"E01006166","Trafford 013A","Households with lone parent not in employment",25
"E01006169","Trafford 013B","Households with lone parent not in employment",15
"E01006170","Trafford 013C","Households with lone parent not in employment",10
"E01006171","Trafford 013D","Households with lone parent not in employment",36
"E01006098","Trafford 014A","Households with lone parent not in employment",2
"E01006099","Trafford 014B","Households with lone parent not in employment",10
"E01006164","Trafford 014C","Households with lone parent not in employment",1
"E01006174","Trafford 014D","Households with lone parent not in employment",4
"E01006178","Trafford 014E","Households with lone parent not in employment",3
"E01006097","Trafford 015A","Households with lone parent not in employment",7
"E01006160","Trafford 015B","Households with lone parent not in employment",11
"E01006161","Trafford 015C","Households with lone parent not in employment",8
"E01006162","Trafford 015D","Households with lone parent not in employment",3
"E01006163","Trafford 015E","Households with lone parent not in employment",14
"E01006148","Trafford 016A","Households with lone parent not in employment",11
"E01006151","Trafford 016B","Households with lone parent not in employment",1
"E01006152","Trafford 016C","Households with lone parent not in employment",5
"E01006153","Trafford 016D","Households with lone parent not in employment",2
"E01006172","Trafford 016E","Households with lone parent not in employment",7
"E01006104","Trafford 017A","Households with lone parent not in employment",28
"E01006105","Trafford 017B","Households with lone parent not in employment",107
"E01006106","Trafford 017C","Households with lone parent not in employment",51
"E01006107","Trafford 017D","Households with lone parent not in employment",28
"E01006108","Trafford 017E","Households with lone parent not in employment",94
"E01006102","Trafford 018A","Households with lone parent not in employment",9
"E01006173","Trafford 018B","Households with lone parent not in employment",3
"E01006175","Trafford 018C","Households with lone parent not in employment",57
"E01006176","Trafford 018D","Households with lone parent not in employment",16
"E01006177","Trafford 018E","Households with lone parent not in employment",46
"E01006091","Trafford 019A","Households with lone parent not in employment",20
"E01006092","Trafford 019B","Households with lone parent not in employment",34
"E01006095","Trafford 019C","Households with lone parent not in employment",6
"E01006167","Trafford 019D","Households with lone parent not in employment",52
"E01006168","Trafford 019E","Households with lone parent not in employment",82
"E01006090","Trafford 020A","Households with lone parent not in employment",8
"E01006094","Trafford 020B","Households with lone parent not in employment",3
"E01006096","Trafford 020C","Households with lone parent not in employment",3
"E01006100","Trafford 020D","Households with lone parent not in employment",6
"E01006103","Trafford 020E","Households with lone parent not in employment",4
"E01006101","Trafford 021A","Households with lone parent not in employment",3
"E01006190","Trafford 021B","Households with lone parent not in employment",2
"E01006195","Trafford 021C","Households with lone parent not in employment",3
"E01006196","Trafford 021D","Households with lone parent not in employment",3
"E01006210","Trafford 021E","Households with lone parent not in employment",13
"E01006204","Trafford 022A","Households with lone parent not in employment",6
"E01006206","Trafford 022B","Households with lone parent not in employment",30
"E01006207","Trafford 022C","Households with lone parent not in employment",33
"E01006208","Trafford 022D","Households with lone parent not in employment",25
"E01006211","Trafford 022E","Households with lone parent not in employment",23
"E01006093","Trafford 023A","Households with lone parent not in employment",7
"E01006191","Trafford 023B","Households with lone parent not in employment",4
"E01006192","Trafford 023C","Households with lone parent not in employment",4
"E01006205","Trafford 023D","Households with lone parent not in employment",2
"E01006209","Trafford 023E","Households with lone parent not in employment",4
"E01006078","Trafford 024A","Households with lone parent not in employment",16
"E01006080","Trafford 024B","Households with lone parent not in employment",7
"E01006089","Trafford 024C","Households with lone parent not in employment",9
"E01006193","Trafford 024D","Households with lone parent not in employment",9
"E01006194","Trafford 024E","Households with lone parent not in employment",18
"E01006074","Trafford 025A","Households with lone parent not in employment",11
"E01006075","Trafford 025B","Households with lone parent not in employment",10
"E01006076","Trafford 025C","Households with lone parent not in employment",7
"E01006079","Trafford 025D","Households with lone parent not in employment",10
"E01006087","Trafford 025E","Households with lone parent not in employment",3
"E01006083","Trafford 026A","Households with lone parent not in employment",2
"E01006084","Trafford 026B","Households with lone parent not in employment",5
"E01006088","Trafford 026C","Households with lone parent not in employment",7
"E01006139","Trafford 026D","Households with lone parent not in employment",4
"E01006140","Trafford 026E","Households with lone parent not in employment",6
"E01006077","Trafford 027A","Households with lone parent not in employment",9
"E01006081","Trafford 027B","Households with lone parent not in employment",2
"E01006082","Trafford 027C","Households with lone parent not in employment",7
"E01006085","Trafford 027D","Households with lone parent not in employment",2
"E01006086","Trafford 027E","Households with lone parent not in employment",15
"E01006134","Trafford 028A","Households with lone parent not in employment",8
"E01006135","Trafford 028B","Households with lone parent not in employment",10
"E01006136","Trafford 028C","Households with lone parent not in employment",2
"E01006137","Trafford 028D","Households with lone parent not in employment",2
"E01006138","Trafford 028E","Households with lone parent not in employment",15
"E01006315","Wigan 001A","Households with lone parent not in employment",6
"E01006316","Wigan 001B","Households with lone parent not in employment",4
"E01006317","Wigan 001C","Households with lone parent not in employment",15
"E01006319","Wigan 001D","Households with lone parent not in employment",11
"E01006229","Wigan 002A","Households with lone parent not in employment",7
"E01006230","Wigan 002B","Households with lone parent not in employment",2
"E01006233","Wigan 002C","Households with lone parent not in employment",3
"E01006237","Wigan 002D","Households with lone parent not in employment",10
"E01006238","Wigan 002E","Households with lone parent not in employment",22
"E01006259","Wigan 003A","Households with lone parent not in employment",14
"E01006312","Wigan 003B","Households with lone parent not in employment",8
"E01006313","Wigan 003C","Households with lone parent not in employment",16
"E01006314","Wigan 003D","Households with lone parent not in employment",3
"E01006318","Wigan 003E","Households with lone parent not in employment",9
"E01006320","Wigan 003F","Households with lone parent not in employment",5
"E01006321","Wigan 003G","Households with lone parent not in employment",10
"E01006231","Wigan 004A","Households with lone parent not in employment",8
"E01006232","Wigan 004B","Households with lone parent not in employment",6
"E01006234","Wigan 004C","Households with lone parent not in employment",13
"E01006235","Wigan 004D","Households with lone parent not in employment",24
"E01006253","Wigan 005A","Households with lone parent not in employment",25
"E01006254","Wigan 005B","Households with lone parent not in employment",50
"E01006255","Wigan 005C","Households with lone parent not in employment",7
"E01006256","Wigan 005D","Households with lone parent not in employment",12
"E01006260","Wigan 005E","Households with lone parent not in employment",26
"E01006370","Wigan 006A","Households with lone parent not in employment",14
"E01006372","Wigan 006B","Households with lone parent not in employment",1
"E01006373","Wigan 006C","Households with lone parent not in employment",7
"E01006374","Wigan 006D","Households with lone parent not in employment",2
"E01006390","Wigan 006E","Households with lone parent not in employment",18
"E01006236","Wigan 007A","Households with lone parent not in employment",3
"E01006388","Wigan 007B","Households with lone parent not in employment",18
"E01006389","Wigan 007C","Households with lone parent not in employment",21
"E01006391","Wigan 007D","Households with lone parent not in employment",7
"E01006257","Wigan 008A","Households with lone parent not in employment",12
"E01006258","Wigan 008B","Households with lone parent not in employment",19
"E01006369","Wigan 008C","Households with lone parent not in employment",30
"E01006371","Wigan 008D","Households with lone parent not in employment",10
"E01006375","Wigan 008E","Households with lone parent not in employment",8
"E01006306","Wigan 009A","Households with lone parent not in employment",24
"E01006307","Wigan 009B","Households with lone parent not in employment",32
"E01006386","Wigan 009C","Households with lone parent not in employment",29
"E01006387","Wigan 009D","Households with lone parent not in employment",19
"E01006392","Wigan 009E","Households with lone parent not in employment",45
"E01006350","Wigan 010A","Households with lone parent not in employment",64
"E01006351","Wigan 010B","Households with lone parent not in employment",99
"E01006357","Wigan 010C","Households with lone parent not in employment",64
"E01006360","Wigan 010D","Households with lone parent not in employment",74
"E01006361","Wigan 010E","Households with lone parent not in employment",61
"E01006356","Wigan 011A","Households with lone parent not in employment",31
"E01006396","Wigan 011B","Households with lone parent not in employment",6
"E01006397","Wigan 011C","Households with lone parent not in employment",15
"E01006398","Wigan 011D","Households with lone parent not in employment",17
"E01006399","Wigan 011E","Households with lone parent not in employment",19
"E01006305","Wigan 012A","Households with lone parent not in employment",61
"E01006308","Wigan 012B","Households with lone parent not in employment",32
"E01006309","Wigan 012C","Households with lone parent not in employment",46
"E01006310","Wigan 012D","Households with lone parent not in employment",48
"E01006311","Wigan 012E","Households with lone parent not in employment",48
"E01006269","Wigan 013A","Households with lone parent not in employment",22
"E01006271","Wigan 013B","Households with lone parent not in employment",16
"E01006272","Wigan 013C","Households with lone parent not in employment",19
"E01006273","Wigan 013D","Households with lone parent not in employment",36
"E01006276","Wigan 013E","Households with lone parent not in employment",21
"E01006353","Wigan 014A","Households with lone parent not in employment",16
"E01006354","Wigan 014B","Households with lone parent not in employment",30
"E01006355","Wigan 014C","Households with lone parent not in employment",19
"E01006358","Wigan 014D","Households with lone parent not in employment",30
"E01006359","Wigan 014E","Households with lone parent not in employment",30
"E01006349","Wigan 015A","Households with lone parent not in employment",16
"E01006352","Wigan 015B","Households with lone parent not in employment",26
"E01006404","Wigan 015C","Households with lone parent not in employment",29
"E01006405","Wigan 015D","Households with lone parent not in employment",34
"E01006411","Wigan 015E","Households with lone parent not in employment",64
"E01006270","Wigan 016A","Households with lone parent not in employment",19
"E01006274","Wigan 016B","Households with lone parent not in employment",38
"E01006275","Wigan 016C","Households with lone parent not in employment",52
"E01006277","Wigan 016D","Households with lone parent not in employment",11
"E01006286","Wigan 016E","Households with lone parent not in employment",5
"E01006239","Wigan 017A","Households with lone parent not in employment",39
"E01006240","Wigan 017B","Households with lone parent not in employment",67
"E01006241","Wigan 017C","Households with lone parent not in employment",65
"E01006287","Wigan 017D","Households with lone parent not in employment",3
"E01006289","Wigan 017E","Households with lone parent not in employment",47
"E01006362","Wigan 018A","Households with lone parent not in employment",5
"E01006363","Wigan 018B","Households with lone parent not in employment",5
"E01006364","Wigan 018C","Households with lone parent not in employment",15
"E01006365","Wigan 018D","Households with lone parent not in employment",13
"E01006366","Wigan 018E","Households with lone parent not in employment",10
"E01006367","Wigan 018F","Households with lone parent not in employment",3
"E01006368","Wigan 018G","Households with lone parent not in employment",20
"E01006278","Wigan 019A","Households with lone parent not in employment",15
"E01006279","Wigan 019B","Households with lone parent not in employment",7
"E01006280","Wigan 019C","Households with lone parent not in employment",16
"E01006281","Wigan 019D","Households with lone parent not in employment",10
"E01006285","Wigan 019E","Households with lone parent not in employment",4
"E01006406","Wigan 020A","Households with lone parent not in employment",3
"E01006407","Wigan 020B","Households with lone parent not in employment",4
"E01006408","Wigan 020C","Households with lone parent not in employment",35
"E01006409","Wigan 020D","Households with lone parent not in employment",3
"E01006410","Wigan 020E","Households with lone parent not in employment",1
"E01006393","Wigan 021A","Households with lone parent not in employment",5
"E01006394","Wigan 021B","Households with lone parent not in employment",4
"E01006395","Wigan 021C","Households with lone parent not in employment",2
"E01006400","Wigan 021D","Households with lone parent not in employment",7
"E01006401","Wigan 021E","Households with lone parent not in employment",3
"E01006402","Wigan 021F","Households with lone parent not in employment",2
"E01006403","Wigan 021G","Households with lone parent not in employment",5
"E01006290","Wigan 022A","Households with lone parent not in employment",6
"E01006291","Wigan 022B","Households with lone parent not in employment",18
"E01006292","Wigan 022C","Households with lone parent not in employment",15
"E01006293","Wigan 022D","Households with lone parent not in employment",23
"E01006242","Wigan 023A","Households with lone parent not in employment",12
"E01006243","Wigan 023B","Households with lone parent not in employment",11
"E01006244","Wigan 023C","Households with lone parent not in employment",25
"E01006245","Wigan 023D","Households with lone parent not in employment",21
"E01006213","Wigan 024A","Households with lone parent not in employment",46
"E01006215","Wigan 024B","Households with lone parent not in employment",50
"E01006217","Wigan 024C","Households with lone parent not in employment",42
"E01006218","Wigan 024D","Households with lone parent not in employment",47
"E01006219","Wigan 024E","Households with lone parent not in employment",21
"E01006288","Wigan 025A","Households with lone parent not in employment",65
"E01006294","Wigan 025B","Households with lone parent not in employment",37
"E01006295","Wigan 025C","Households with lone parent not in employment",26
"E01006377","Wigan 025D","Households with lone parent not in employment",8
"E01006378","Wigan 025E","Households with lone parent not in employment",3
"E01006212","Wigan 026A","Households with lone parent not in employment",10
"E01006214","Wigan 026B","Households with lone parent not in employment",40
"E01006216","Wigan 026C","Households with lone parent not in employment",25
"E01006322","Wigan 026D","Households with lone parent not in employment",30
"E01006329","Wigan 026E","Households with lone parent not in employment",25
"E01006282","Wigan 027A","Households with lone parent not in employment",18
"E01006283","Wigan 027B","Households with lone parent not in employment",47
"E01006284","Wigan 027C","Households with lone parent not in employment",28
"E01006336","Wigan 027D","Households with lone parent not in employment",64
"E01006337","Wigan 027E","Households with lone parent not in employment",17
"E01006376","Wigan 028A","Households with lone parent not in employment",32
"E01006381","Wigan 028B","Households with lone parent not in employment",8
"E01006382","Wigan 028C","Households with lone parent not in employment",2
"E01006383","Wigan 028D","Households with lone parent not in employment",12
"E01006384","Wigan 028E","Households with lone parent not in employment",6
"E01006250","Wigan 029A","Households with lone parent not in employment",5
"E01006251","Wigan 029B","Households with lone parent not in employment",3
"E01006379","Wigan 029C","Households with lone parent not in employment",11
"E01006380","Wigan 029D","Households with lone parent not in employment",34
"E01006385","Wigan 029E","Households with lone parent not in employment",4
"E01006328","Wigan 030A","Households with lone parent not in employment",23
"E01006333","Wigan 030B","Households with lone parent not in employment",29
"E01006334","Wigan 030C","Households with lone parent not in employment",45
"E01006338","Wigan 030D","Households with lone parent not in employment",26
"E01006248","Wigan 031A","Households with lone parent not in employment",38
"E01006249","Wigan 031B","Households with lone parent not in employment",39
"E01006330","Wigan 031C","Households with lone parent not in employment",6
"E01006331","Wigan 031D","Households with lone parent not in employment",3
"E01006332","Wigan 031E","Households with lone parent not in employment",12
"E01006262","Wigan 032A","Households with lone parent not in employment",26
"E01006263","Wigan 032B","Households with lone parent not in employment",2
"E01006266","Wigan 032C","Households with lone parent not in employment",4
"E01006267","Wigan 032D","Households with lone parent not in employment",36
"E01006268","Wigan 032E","Households with lone parent not in employment",20
"E01006323","Wigan 033A","Households with lone parent not in employment",40
"E01006324","Wigan 033B","Households with lone parent not in employment",36
"E01006325","Wigan 033C","Households with lone parent not in employment",22
"E01006326","Wigan 033D","Households with lone parent not in employment",20
"E01006327","Wigan 033E","Households with lone parent not in employment",35
"E01006246","Wigan 034A","Households with lone parent not in employment",25
"E01006247","Wigan 034B","Households with lone parent not in employment",2
"E01006252","Wigan 034C","Households with lone parent not in employment",5
"E01006297","Wigan 034D","Households with lone parent not in employment",36
"E01006335","Wigan 034E","Households with lone parent not in employment",28
"E01006220","Wigan 035A","Households with lone parent not in employment",36
"E01006221","Wigan 035B","Households with lone parent not in employment",18
"E01006222","Wigan 035C","Households with lone parent not in employment",2
"E01006224","Wigan 035D","Households with lone parent not in employment",5
"E01006226","Wigan 035E","Households with lone parent not in employment",11
"E01006223","Wigan 036A","Households with lone parent not in employment",17
"E01006225","Wigan 036B","Households with lone parent not in employment",11
"E01006261","Wigan 036C","Households with lone parent not in employment",11
"E01006264","Wigan 036D","Households with lone parent not in employment",2
"E01006265","Wigan 036E","Households with lone parent not in employment",17
"E01006296","Wigan 037A","Households with lone parent not in employment",61
"E01006298","Wigan 037B","Households with lone parent not in employment",35
"E01006299","Wigan 037C","Households with lone parent not in employment",9
"E01006300","Wigan 037D","Households with lone parent not in employment",3
"E01006301","Wigan 037E","Households with lone parent not in employment",3
"E01006227","Wigan 038A","Households with lone parent not in employment",5
"E01006228","Wigan 038B","Households with lone parent not in employment",36
"E01006342","Wigan 038C","Households with lone parent not in employment",19
"E01006344","Wigan 038D","Households with lone parent not in employment",39
"E01006346","Wigan 038E","Households with lone parent not in employment",25
"E01006339","Wigan 039A","Households with lone parent not in employment",3
"E01006340","Wigan 039B","Households with lone parent not in employment",29
"E01006343","Wigan 039C","Households with lone parent not in employment",9
"E01006345","Wigan 039D","Households with lone parent not in employment",10
"E01006348","Wigan 039E","Households with lone parent not in employment",1
"E01006302","Wigan 040A","Households with lone parent not in employment",9
"E01006303","Wigan 040B","Households with lone parent not in employment",2
"E01006304","Wigan 040C","Households with lone parent not in employment",18
"E01006341","Wigan 040D","Households with lone parent not in employment",26
"E01006347","Wigan 040E","Households with lone parent not in employment",3
"E01005886","Stockport 001A","Households with lone parent not in employment",36
"E01005888","Stockport 001B","Households with lone parent not in employment",32
"E01005889","Stockport 001C","Households with lone parent not in employment",29
"E01005891","Stockport 001D","Households with lone parent not in employment",9
"E01005894","Stockport 001E","Households with lone parent not in employment",12
"E01005887","Stockport 002A","Households with lone parent not in employment",55
"E01005890","Stockport 002B","Households with lone parent not in employment",29
"E01005893","Stockport 002C","Households with lone parent not in employment",31
"E01005896","Stockport 002D","Households with lone parent not in employment",30
"E01005919","Stockport 002E","Households with lone parent not in employment",58
"E01005862","Stockport 003A","Households with lone parent not in employment",6
"E01005892","Stockport 003B","Households with lone parent not in employment",22
"E01005895","Stockport 003C","Households with lone parent not in employment",19
"E01005920","Stockport 003D","Households with lone parent not in employment",8
"E01005921","Stockport 003E","Households with lone parent not in employment",30
"E01005922","Stockport 003F","Households with lone parent not in employment",10
"E01005753","Stockport 004A","Households with lone parent not in employment",73
"E01005754","Stockport 004B","Households with lone parent not in employment",60
"E01005755","Stockport 004C","Households with lone parent not in employment",69
"E01005756","Stockport 004D","Households with lone parent not in employment",88
"E01005745","Stockport 005A","Households with lone parent not in employment",22
"E01005746","Stockport 005B","Households with lone parent not in employment",13
"E01005747","Stockport 005C","Households with lone parent not in employment",4
"E01005748","Stockport 005D","Households with lone parent not in employment",3
"E01005863","Stockport 006A","Households with lone parent not in employment",8
"E01005864","Stockport 006B","Households with lone parent not in employment",8
"E01005866","Stockport 006C","Households with lone parent not in employment",11
"E01005869","Stockport 006D","Households with lone parent not in employment",9
"E01005914","Stockport 007A","Households with lone parent not in employment",15
"E01005915","Stockport 007B","Households with lone parent not in employment",29
"E01005916","Stockport 007C","Households with lone parent not in employment",29
"E01005917","Stockport 007D","Households with lone parent not in employment",51
"E01005859","Stockport 008A","Households with lone parent not in employment",4
"E01005865","Stockport 008B","Households with lone parent not in employment",3
"E01005867","Stockport 008C","Households with lone parent not in employment",2
"E01005868","Stockport 008D","Households with lone parent not in employment",12
"E01005743","Stockport 009A","Households with lone parent not in employment",10
"E01005744","Stockport 009B","Households with lone parent not in employment",19
"E01005749","Stockport 009C","Households with lone parent not in employment",16
"E01005750","Stockport 009D","Households with lone parent not in employment",19
"E01005751","Stockport 009E","Households with lone parent not in employment",26
"E01005897","Stockport 010A","Households with lone parent not in employment",26
"E01005898","Stockport 010B","Households with lone parent not in employment",12
"E01005900","Stockport 010C","Households with lone parent not in employment",17
"E01005903","Stockport 010D","Households with lone parent not in employment",1
"E01005904","Stockport 010E","Households with lone parent not in employment",7
"E01005853","Stockport 011A","Households with lone parent not in employment",36
"E01005856","Stockport 011B","Households with lone parent not in employment",12
"E01005860","Stockport 011C","Households with lone parent not in employment",4
"E01005861","Stockport 011D","Households with lone parent not in employment",8
"E01005752","Stockport 012A","Households with lone parent not in employment",39
