lsoa11cd,lsoa11nm,lad16nm,measure,value
E01006331,Wigan 031D,Wigan,Households with lone parent not in employment,3
E01006332,Wigan 031E,Wigan,Households with lone parent not in employment,12
E01006262,Wigan 032A,Wigan,Households with lone parent not in employment,26
E01006263,Wigan 032B,Wigan,Households with lone parent not in employment,2
E01006266,Wigan 032C,Wigan,Households with lone parent not in employment,4
E01006267,Wigan 032D,Wigan,Households with lone parent not in employment,36
E01006268,Wigan 032E,Wigan,Households with lone parent not in employment,20
E01006323,Wigan 033A,Wigan,Households with lone parent not in employment,40
E01006324,Wigan 033B,Wigan,Households with lone parent not in employment,36
E01006325,Wigan 033C,Wigan,Households with lone parent not in employment,22
E01006326,Wigan 033D,Wigan,Households with lone parent not in employment,20
E01006327,Wigan 033E,Wigan,Households with lone parent not in employment,35
E01006246,Wigan 034A,Wigan,Households with lone parent not in employment,25
E01006247,Wigan 034B,Wigan,Households with lone parent not in employment,2
E01006252,Wigan 034C,Wigan,Households with lone parent not in employment,5
E01006297,Wigan 034D,Wigan,Households with lone parent not in employment,36
E01006335,Wigan 034E,Wigan,Households with lone parent not in employment,28
E01006220,Wigan 035A,Wigan,Households with lone parent not in employment,36
E01006221,Wigan 035B,Wigan,Households with lone parent not in employment,18
E01006222,Wigan 035C,Wigan,Households with lone parent not in employment,2
E01006224,Wigan 035D,Wigan,Households with lone parent not in employment,5
E01006226,Wigan 035E,Wigan,Households with lone parent not in employment,11
E01006223,Wigan 036A,Wigan,Households with lone parent not in employment,17
E01006225,Wigan 036B,Wigan,Households with lone parent not in employment,11
E01006261,Wigan 036C,Wigan,Households with lone parent not in employment,11
E01006264,Wigan 036D,Wigan,Households with lone parent not in employment,2
E01006265,Wigan 036E,Wigan,Households with lone parent not in employment,17
E01006296,Wigan 037A,Wigan,Households with lone parent not in employment,61
E01006298,Wigan 037B,Wigan,Households with lone parent not in employment,35
E01006299,Wigan 037C,Wigan,Households with lone parent not in employment,9
E01006300,Wigan 037D,Wigan,Households with lone parent not in employment,3
E01006301,Wigan 037E,Wigan,Households with lone parent not in employment,3
E01006227,Wigan 038A,Wigan,Households with lone parent not in employment,5
E01006228,Wigan 038B,Wigan,Households with lone parent not in employment,36
E01006342,Wigan 038C,Wigan,Households with lone parent not in employment,19
E01006344,Wigan 038D,Wigan,Households with lone parent not in employment,39
E01006346,Wigan 038E,Wigan,Households with lone parent not in employment,25
E01006339,Wigan 039A,Wigan,Households with lone parent not in employment,3
E01006340,Wigan 039B,Wigan,Households with lone parent not in employment,29
E01006343,Wigan 039C,Wigan,Households with lone parent not in employment,9
E01006345,Wigan 039D,Wigan,Households with lone parent not in employment,10
E01006348,Wigan 039E,Wigan,Households with lone parent not in employment,1
E01006302,Wigan 040A,Wigan,Households with lone parent not in employment,9
E01006303,Wigan 040B,Wigan,Households with lone parent not in employment,2
E01006304,Wigan 040C,Wigan,Households with lone parent not in employment,18
E01006341,Wigan 040D,Wigan,Households with lone parent not in employment,26
E01006347,Wigan 040E,Wigan,Households with lone parent not in employment,3
E01005886,Stockport 001A,Stockport,Households with lone parent not in employment,36
E01005888,Stockport 001B,Stockport,Households with lone parent not in employment,32
E01005889,Stockport 001C,Stockport,Households with lone parent not in employment,29
E01005891,Stockport 001D,Stockport,Households with lone parent not in employment,9
E01005894,Stockport 001E,Stockport,Households with lone parent not in employment,12
E01005887,Stockport 002A,Stockport,Households with lone parent not in employment,55
E01005890,Stockport 002B,Stockport,Households with lone parent not in employment,29
E01005893,Stockport 002C,Stockport,Households with lone parent not in employment,31
E01005896,Stockport 002D,Stockport,Households with lone parent not in employment,30
E01005919,Stockport 002E,Stockport,Households with lone parent not in employment,58
E01005862,Stockport 003A,Stockport,Households with lone parent not in employment,6
E01005892,Stockport 003B,Stockport,Households with lone parent not in employment,22
E01005895,Stockport 003C,Stockport,Households with lone parent not in employment,19
E01005920,Stockport 003D,Stockport,Households with lone parent not in employment,8
E01005921,Stockport 003E,Stockport,Households with lone parent not in employment,30
E01005922,Stockport 003F,Stockport,Households with lone parent not in employment,10
E01005753,Stockport 004A,Stockport,Households with lone parent not in employment,73
E01005754,Stockport 004B,Stockport,Households with lone parent not in employment,60
E01005755,Stockport 004C,Stockport,Households with lone parent not in employment,69
E01005756,Stockport 004D,Stockport,Households with lone parent not in employment,88
E01005745,Stockport 005A,Stockport,Households with lone parent not in employment,22
E01005746,Stockport 005B,Stockport,Households with lone parent not in employment,13
E01005747,Stockport 005C,Stockport,Households with lone parent not in employment,4
E01005748,Stockport 005D,Stockport,Households with lone parent not in employment,3
E01005863,Stockport 006A,Stockport,Households with lone parent not in employment,8
E01005864,Stockport 006B,Stockport,Households with lone parent not in employment,8
E01005866,Stockport 006C,Stockport,Households with lone parent not in employment,11
E01005869,Stockport 006D,Stockport,Households with lone parent not in employment,9
E01005914,Stockport 007A,Stockport,Households with lone parent not in employment,15
E01005915,Stockport 007B,Stockport,Households with lone parent not in employment,29
E01005916,Stockport 007C,Stockport,Households with lone parent not in employment,29
E01005917,Stockport 007D,Stockport,Households with lone parent not in employment,51
E01005859,Stockport 008A,Stockport,Households with lone parent not in employment,4
E01005865,Stockport 008B,Stockport,Households with lone parent not in employment,3
E01005867,Stockport 008C,Stockport,Households with lone parent not in employment,2
E01005868,Stockport 008D,Stockport,Households with lone parent not in employment,12
E01005743,Stockport 009A,Stockport,Households with lone parent not in employment,10
E01005744,Stockport 009B,Stockport,Households with lone parent not in employment,19
E01005749,Stockport 009C,Stockport,Households with lone parent not in employment,16
E01005750,Stockport 009D,Stockport,Households with lone parent not in employment,19
E01005751,Stockport 009E,Stockport,Households with lone parent not in employment,26
E01005897,Stockport 010A,Stockport,Households with lone parent not in employment,26
E01005898,Stockport 010B,Stockport,Households with lone parent not in employment,12
E01005900,Stockport 010C,Stockport,Households with lone parent not in employment,17
E01005903,Stockport 010D,Stockport,Households with lone parent not in employment,1
E01005904,Stockport 010E,Stockport,Households with lone parent not in employment,7
E01005853,Stockport 011A,Stockport,Households with lone parent not in employment,36
E01005856,Stockport 011B,Stockport,Households with lone parent not in employment,12
E01005860,Stockport 011C,Stockport,Households with lone parent not in employment,4
E01005861,Stockport 011D,Stockport,Households with lone parent not in employment,8
E01005752,Stockport 012A,Stockport,Households with lone parent not in employment,39
E01005899,Stockport 012B,Stockport,Households with lone parent not in employment,14
E01005901,Stockport 012C,Stockport,Households with lone parent not in employment,1
E01005902,Stockport 012D,Stockport,Households with lone parent not in employment,47
E01005905,Stockport 012E,Stockport,Households with lone parent not in employment,44
E01005852,Stockport 013A,Stockport,Households with lone parent not in employment,6
E01005854,Stockport 013B,Stockport,Households with lone parent not in employment,2
E01005855,Stockport 013C,Stockport,Households with lone parent not in employment,4
E01005857,Stockport 013D,Stockport,Households with lone parent not in employment,4
E01005858,Stockport 013E,Stockport,Households with lone parent not in employment,8
E01005757,Stockport 014A,Stockport,Households with lone parent not in employment,28
E01005758,Stockport 014B,Stockport,Households with lone parent not in employment,41
E01005766,Stockport 014C,Stockport,Households with lone parent not in employment,28
E01005918,Stockport 014D,Stockport,Households with lone parent not in employment,60
E01005870,Stockport 015A,Stockport,Households with lone parent not in employment,29
E01005871,Stockport 015B,Stockport,Households with lone parent not in employment,24
E01005873,Stockport 015C,Stockport,Households with lone parent not in employment,9
E01005875,Stockport 015D,Stockport,Households with lone parent not in employment,12
E01005764,Stockport 016A,Stockport,Households with lone parent not in employment,35
E01005816,Stockport 016B,Stockport,Households with lone parent not in employment,37
E01005817,Stockport 016C,Stockport,Households with lone parent not in employment,21
E01005822,Stockport 016D,Stockport,Households with lone parent not in employment,45
E01005880,Stockport 017A,Stockport,Households with lone parent not in employment,4
E01005881,Stockport 017B,Stockport,Households with lone parent not in employment,2
E01005883,Stockport 017C,Stockport,Households with lone parent not in employment,2
E01005908,Stockport 017D,Stockport,Households with lone parent not in employment,5
E01005765,Stockport 018A,Stockport,Households with lone parent not in employment,7
E01005818,Stockport 018B,Stockport,Households with lone parent not in employment,37
E01005819,Stockport 018C,Stockport,Households with lone parent not in employment,10
E01005820,Stockport 018D,Stockport,Households with lone parent not in employment,24
E01005821,Stockport 018E,Stockport,Households with lone parent not in employment,15
E01005823,Stockport 018F,Stockport,Households with lone parent not in employment,24
E01005825,Stockport 019A,Stockport,Households with lone parent not in employment,9
E01005872,Stockport 019B,Stockport,Households with lone parent not in employment,36
E01005874,Stockport 019C,Stockport,Households with lone parent not in employment,37
E01005876,Stockport 019D,Stockport,Households with lone parent not in employment,14
E01005877,Stockport 019E,Stockport,Households with lone parent not in employment,19
E01005878,Stockport 020A,Stockport,Households with lone parent not in employment,26
E01005879,Stockport 020B,Stockport,Households with lone parent not in employment,10
E01005882,Stockport 020C,Stockport,Households with lone parent not in employment,3
E01005884,Stockport 020D,Stockport,Households with lone parent not in employment,4
E01005885,Stockport 020E,Stockport,Households with lone parent not in employment,8
E01005832,Stockport 021A,Stockport,Households with lone parent not in employment,8
E01005833,Stockport 021B,Stockport,Households with lone parent not in employment,5
E01005835,Stockport 021C,Stockport,Households with lone parent not in employment,6
E01005837,Stockport 021D,Stockport,Households with lone parent not in employment,13
E01005843,Stockport 021E,Stockport,Households with lone parent not in employment,5
E01005769,Stockport 022A,Stockport,Households with lone parent not in employment,18
E01005778,Stockport 022B,Stockport,Households with lone parent not in employment,5
E01005779,Stockport 022C,Stockport,Households with lone parent not in employment,14
E01005780,Stockport 022D,Stockport,Households with lone parent not in employment,9
E01005781,Stockport 022E,Stockport,Households with lone parent not in employment,41
E01005759,Stockport 023A,Stockport,Households with lone parent not in employment,25
E01005760,Stockport 023B,Stockport,Households with lone parent not in employment,44
E01005797,Stockport 023C,Stockport,Households with lone parent not in employment,19
E01005800,Stockport 023D,Stockport,Households with lone parent not in employment,11
E01005804,Stockport 023E,Stockport,Households with lone parent not in employment,18
E01005824,Stockport 024A,Stockport,Households with lone parent not in employment,7
E01005826,Stockport 024B,Stockport,Households with lone parent not in employment,39
E01005827,Stockport 024C,Stockport,Households with lone parent not in employment,3
E01005828,Stockport 024D,Stockport,Households with lone parent not in employment,49
E01005829,Stockport 024E,Stockport,Households with lone parent not in employment,37
E01005768,Stockport 025A,Stockport,Households with lone parent not in employment,4
E01005770,Stockport 025B,Stockport,Households with lone parent not in employment,2
E01005771,Stockport 025C,Stockport,Households with lone parent not in employment,2
E01005775,Stockport 025D,Stockport,Households with lone parent not in employment,3
E01005761,Stockport 026A,Stockport,Households with lone parent not in employment,31
E01005762,Stockport 026B,Stockport,Households with lone parent not in employment,73
E01005763,Stockport 026C,Stockport,Households with lone parent not in employment,52
E01005799,Stockport 026D,Stockport,Households with lone parent not in employment,76
E01005798,Stockport 027A,Stockport,Households with lone parent not in employment,10
E01005801,Stockport 027B,Stockport,Households with lone parent not in employment,14
E01005802,Stockport 027C,Stockport,Households with lone parent not in employment,6
E01005803,Stockport 027D,Stockport,Households with lone parent not in employment,5
E01005830,Stockport 027E,Stockport,Households with lone parent not in employment,13
E01005831,Stockport 027F,Stockport,Households with lone parent not in employment,13
E01005767,Stockport 028A,Stockport,Households with lone parent not in employment,3
E01005772,Stockport 028B,Stockport,Households with lone parent not in employment,10
E01005773,Stockport 028C,Stockport,Households with lone parent not in employment,7
E01005774,Stockport 028D,Stockport,Households with lone parent not in employment,17
E01005776,Stockport 028E,Stockport,Households with lone parent not in employment,6
E01005909,Stockport 029A,Stockport,Households with lone parent not in employment,5
E01005910,Stockport 029B,Stockport,Households with lone parent not in employment,21
E01005911,Stockport 029C,Stockport,Households with lone parent not in employment,3
E01005912,Stockport 029D,Stockport,Households with lone parent not in employment,4
E01005782,Stockport 030A,Stockport,Households with lone parent not in employment,5
E01005783,Stockport 030B,Stockport,Households with lone parent not in employment,10
E01005784,Stockport 030C,Stockport,Households with lone parent not in employment,5
E01005785,Stockport 030D,Stockport,Households with lone parent not in employment,3
E01005786,Stockport 030E,Stockport,Households with lone parent not in employment,5
E01005834,Stockport 031A,Stockport,Households with lone parent not in employment,19
E01005836,Stockport 031B,Stockport,Households with lone parent not in employment,13
E01005838,Stockport 031C,Stockport,Households with lone parent not in employment,23
E01005840,Stockport 031D,Stockport,Households with lone parent not in employment,19
E01005927,Stockport 032A,Stockport,Households with lone parent not in employment,7
E01005928,Stockport 032B,Stockport,Households with lone parent not in employment,23
E01005929,Stockport 032C,Stockport,Households with lone parent not in employment,4
E01005930,Stockport 032D,Stockport,Households with lone parent not in employment,2
E01005806,Stockport 033A,Stockport,Households with lone parent not in employment,3
E01005813,Stockport 033B,Stockport,Households with lone parent not in employment,4
E01005814,Stockport 033C,Stockport,Households with lone parent not in employment,0
E01005815,Stockport 033D,Stockport,Households with lone parent not in employment,6
E01005777,Stockport 034A,Stockport,Households with lone parent not in employment,17
E01005787,Stockport 034B,Stockport,Households with lone parent not in employment,2
E01005788,Stockport 034C,Stockport,Households with lone parent not in employment,5
E01005790,Stockport 034D,Stockport,Households with lone parent not in employment,8
E01005805,Stockport 035A,Stockport,Households with lone parent not in employment,1
E01005807,Stockport 035B,Stockport,Households with lone parent not in employment,0
E01005839,Stockport 035C,Stockport,Households with lone parent not in employment,5
E01005841,Stockport 035D,Stockport,Households with lone parent not in employment,10
E01005844,Stockport 036A,Stockport,Households with lone parent not in employment,5
E01005845,Stockport 036B,Stockport,Households with lone parent not in employment,6
E01005849,Stockport 036C,Stockport,Households with lone parent not in employment,1
E01005851,Stockport 036D,Stockport,Households with lone parent not in employment,4
E01005808,Stockport 037A,Stockport,Households with lone parent not in employment,7
E01005809,Stockport 037B,Stockport,Households with lone parent not in employment,4
E01005810,Stockport 037C,Stockport,Households with lone parent not in employment,9
E01005811,Stockport 037D,Stockport,Households with lone parent not in employment,5
E01005812,Stockport 037E,Stockport,Households with lone parent not in employment,3
E01005842,Stockport 038A,Stockport,Households with lone parent not in employment,8
E01005906,Stockport 038B,Stockport,Households with lone parent not in employment,2
E01005907,Stockport 038C,Stockport,Households with lone parent not in employment,6
E01005913,Stockport 038D,Stockport,Households with lone parent not in employment,6
E01005789,Stockport 039A,Stockport,Households with lone parent not in employment,3
E01005791,Stockport 039B,Stockport,Households with lone parent not in employment,6
E01005793,Stockport 039C,Stockport,Households with lone parent not in employment,5
E01005795,Stockport 039D,Stockport,Households with lone parent not in employment,3
E01005796,Stockport 039E,Stockport,Households with lone parent not in employment,4
E01005846,Stockport 040A,Stockport,Households with lone parent not in employment,4
E01005847,Stockport 040B,Stockport,Households with lone parent not in employment,8
E01005848,Stockport 040C,Stockport,Households with lone parent not in employment,6
E01005850,Stockport 040D,Stockport,Households with lone parent not in employment,22
E01005792,Stockport 041A,Stockport,Households with lone parent not in employment,1
E01005794,Stockport 041B,Stockport,Households with lone parent not in employment,1
E01005923,Stockport 041C,Stockport,Households with lone parent not in employment,1
E01005931,Stockport 041D,Stockport,Households with lone parent not in employment,5
E01005924,Stockport 042A,Stockport,Households with lone parent not in employment,4
E01005925,Stockport 042B,Stockport,Households with lone parent not in employment,4
E01005926,Stockport 042C,Stockport,Households with lone parent not in employment,4
E01005932,Stockport 042D,Stockport,Households with lone parent not in employment,2
E01004768,Bolton 001A,Bolton,Working-age adults with no qualifications,73
E01004803,Bolton 001B,Bolton,Working-age adults with no qualifications,48
E01004804,Bolton 001C,Bolton,Working-age adults with no qualifications,76
E01004807,Bolton 001D,Bolton,Working-age adults with no qualifications,62
E01004808,Bolton 001E,Bolton,Working-age adults with no qualifications,65
E01004788,Bolton 002A,Bolton,Working-age adults with no qualifications,48
E01004790,Bolton 002B,Bolton,Working-age adults with no qualifications,80
E01004805,Bolton 002C,Bolton,Working-age adults with no qualifications,85
E01004806,Bolton 002D,Bolton,Working-age adults with no qualifications,82
E01004810,Bolton 002E,Bolton,Working-age adults with no qualifications,75
E01004769,Bolton 003A,Bolton,Working-age adults with no qualifications,87
E01004770,Bolton 003B,Bolton,Working-age adults with no qualifications,109
E01004771,Bolton 003C,Bolton,Working-age adults with no qualifications,78
E01004773,Bolton 003D,Bolton,Working-age adults with no qualifications,147
E01004809,Bolton 003E,Bolton,Working-age adults with no qualifications,135
E01004777,Bolton 004A,Bolton,Working-age adults with no qualifications,163
E01004881,Bolton 004B,Bolton,Working-age adults with no qualifications,161
E01004888,Bolton 004C,Bolton,Working-age adults with no qualifications,146
E01004889,Bolton 004D,Bolton,Working-age adults with no qualifications,176
E01004890,Bolton 004E,Bolton,Working-age adults with no qualifications,118
E01004766,Bolton 005A,Bolton,Working-age adults with no qualifications,156
E01004767,Bolton 005B,Bolton,Working-age adults with no qualifications,146
E01004772,Bolton 005C,Bolton,Working-age adults with no qualifications,235
E01004774,Bolton 005D,Bolton,Working-age adults with no qualifications,197
E01004824,Bolton 005E,Bolton,Working-age adults with no qualifications,415
E01004784,Bolton 006A,Bolton,Working-age adults with no qualifications,71
E01004785,Bolton 006B,Bolton,Working-age adults with no qualifications,138
E01004786,Bolton 006C,Bolton,Working-age adults with no qualifications,97
E01004789,Bolton 006D,Bolton,Working-age adults with no qualifications,61
E01004791,Bolton 006E,Bolton,Working-age adults with no qualifications,57
E01004792,Bolton 006F,Bolton,Working-age adults with no qualifications,80
E01004779,Bolton 007A,Bolton,Working-age adults with no qualifications,148
E01004781,Bolton 007B,Bolton,Working-age adults with no qualifications,146
E01004882,Bolton 007C,Bolton,Working-age adults with no qualifications,103
E01004883,Bolton 007D,Bolton,Working-age adults with no qualifications,87
E01004884,Bolton 007E,Bolton,Working-age adults with no qualifications,68
E01004864,Bolton 008A,Bolton,Working-age adults with no qualifications,138
E01004867,Bolton 008B,Bolton,Working-age adults with no qualifications,231
E01004921,Bolton 008C,Bolton,Working-age adults with no qualifications,122
E01004924,Bolton 008D,Bolton,Working-age adults with no qualifications,80
E01004925,Bolton 008E,Bolton,Working-age adults with no qualifications,112
E01004778,Bolton 009A,Bolton,Working-age adults with no qualifications,89
E01004780,Bolton 009B,Bolton,Working-age adults with no qualifications,126
E01004782,Bolton 009C,Bolton,Working-age adults with no qualifications,147
E01004783,Bolton 009D,Bolton,Working-age adults with no qualifications,113
E01004802,Bolton 010A,Bolton,Working-age adults with no qualifications,335
E01004926,Bolton 010B,Bolton,Working-age adults with no qualifications,278
E01004927,Bolton 010C,Bolton,Working-age adults with no qualifications,415
E01004929,Bolton 010D,Bolton,Working-age adults with no qualifications,281
E01004820,Bolton 011A,Bolton,Working-age adults with no qualifications,361
E01004825,Bolton 011B,Bolton,Working-age adults with no qualifications,416
E01004826,Bolton 011C,Bolton,Working-age adults with no qualifications,308
E01004865,Bolton 011D,Bolton,Working-age adults with no qualifications,191
E01004866,Bolton 011E,Bolton,Working-age adults with no qualifications,328
E01004840,Bolton 012A,Bolton,Working-age adults with no qualifications,127
E01004841,Bolton 012B,Bolton,Working-age adults with no qualifications,348
E01004842,Bolton 012C,Bolton,Working-age adults with no qualifications,72
E01004919,Bolton 012D,Bolton,Working-age adults with no qualifications,91
E01004920,Bolton 012E,Bolton,Working-age adults with no qualifications,175
E01004787,Bolton 013A,Bolton,Working-age adults with no qualifications,319
E01004793,Bolton 013B,Bolton,Working-age adults with no qualifications,314
E01004794,Bolton 013C,Bolton,Working-age adults with no qualifications,375
E01004795,Bolton 013D,Bolton,Working-age adults with no qualifications,193
E01004797,Bolton 013E,Bolton,Working-age adults with no qualifications,235
E01004775,Bolton 014A,Bolton,Working-age adults with no qualifications,89
E01004885,Bolton 014B,Bolton,Working-age adults with no qualifications,51
E01004886,Bolton 014C,Bolton,Working-age adults with no qualifications,158
E01004887,Bolton 014D,Bolton,Working-age adults with no qualifications,171
E01004868,Bolton 015A,Bolton,Working-age adults with no qualifications,210
E01004869,Bolton 015B,Bolton,Working-age adults with no qualifications,327
E01004870,Bolton 015C,Bolton,Working-age adults with no qualifications,276
E01004871,Bolton 015D,Bolton,Working-age adults with no qualifications,267
E01004922,Bolton 015E,Bolton,Working-age adults with no qualifications,233
E01004822,Bolton 016B,Bolton,Working-age adults with no qualifications,330
E01004823,Bolton 016C,Bolton,Working-age adults with no qualifications,362
E01004848,Bolton 016D,Bolton,Working-age adults with no qualifications,286
E01033217,Bolton 016E,Bolton,Working-age adults with no qualifications,150
E01033220,Bolton 016F,Bolton,Working-age adults with no qualifications,292
E01004818,Bolton 017A,Bolton,Working-age adults with no qualifications,235
E01004819,Bolton 017B,Bolton,Working-age adults with no qualifications,159
E01004928,Bolton 017C,Bolton,Working-age adults with no qualifications,225
E01004930,Bolton 017D,Bolton,Working-age adults with no qualifications,170
E01004931,Bolton 017E,Bolton,Working-age adults with no qualifications,234
E01004932,Bolton 017F,Bolton,Working-age adults with no qualifications,183
E01004834,Bolton 018A,Bolton,Working-age adults with no qualifications,230
E01004838,Bolton 018B,Bolton,Working-age adults with no qualifications,247
E01004843,Bolton 018C,Bolton,Working-age adults with no qualifications,78
E01004845,Bolton 018D,Bolton,Working-age adults with no qualifications,106
E01004923,Bolton 018E,Bolton,Working-age adults with no qualifications,127
E01004796,Bolton 019A,Bolton,Working-age adults with no qualifications,131
E01004798,Bolton 019B,Bolton,Working-age adults with no qualifications,245
E01004799,Bolton 019C,Bolton,Working-age adults with no qualifications,152
E01004800,Bolton 019D,Bolton,Working-age adults with no qualifications,148
E01004801,Bolton 019E,Bolton,Working-age adults with no qualifications,340
E01004917,Bolton 019F,Bolton,Working-age adults with no qualifications,219
E01004835,Bolton 020A,Bolton,Working-age adults with no qualifications,94
E01004836,Bolton 020B,Bolton,Working-age adults with no qualifications,123
E01004837,Bolton 020C,Bolton,Working-age adults with no qualifications,105
E01004844,Bolton 020D,Bolton,Working-age adults with no qualifications,61
E01004897,Bolton 020E,Bolton,Working-age adults with no qualifications,59
E01004827,Bolton 021A,Bolton,Working-age adults with no qualifications,288
E01004849,Bolton 021B,Bolton,Working-age adults with no qualifications,353
E01004850,Bolton 021C,Bolton,Working-age adults with no qualifications,401
E01004851,Bolton 021D,Bolton,Working-age adults with no qualifications,316
E01004853,Bolton 021E,Bolton,Working-age adults with no qualifications,314
E01004811,Bolton 022A,Bolton,Working-age adults with no qualifications,300
E01004812,Bolton 022B,Bolton,Working-age adults with no qualifications,305
E01004813,Bolton 022C,Bolton,Working-age adults with no qualifications,220
E01004815,Bolton 022D,Bolton,Working-age adults with no qualifications,272
E01004817,Bolton 022E,Bolton,Working-age adults with no qualifications,232
E01004828,Bolton 023A,Bolton,Working-age adults with no qualifications,344
E01004829,Bolton 023B,Bolton,Working-age adults with no qualifications,267
E01004832,Bolton 023C,Bolton,Working-age adults with no qualifications,179
E01004854,Bolton 023D,Bolton,Working-age adults with no qualifications,279
E01004878,Bolton 023E,Bolton,Working-age adults with no qualifications,247
E01004911,Bolton 024A,Bolton,Working-age adults with no qualifications,228
E01004912,Bolton 024B,Bolton,Working-age adults with no qualifications,156
E01004913,Bolton 024C,Bolton,Working-age adults with no qualifications,204
E01004914,Bolton 024D,Bolton,Working-age adults with no qualifications,97
E01004915,Bolton 024E,Bolton,Working-age adults with no qualifications,124
E01004916,Bolton 024F,Bolton,Working-age adults with no qualifications,185
E01004918,Bolton 024G,Bolton,Working-age adults with no qualifications,111
E01004846,Bolton 025A,Bolton,Working-age adults with no qualifications,245
E01004847,Bolton 025B,Bolton,Working-age adults with no qualifications,376
E01004852,Bolton 025C,Bolton,Working-age adults with no qualifications,302
E01004877,Bolton 025D,Bolton,Working-age adults with no qualifications,363
E01004879,Bolton 025E,Bolton,Working-age adults with no qualifications,250
E01004830,Bolton 026A,Bolton,Working-age adults with no qualifications,233
E01004831,Bolton 026B,Bolton,Working-age adults with no qualifications,189
E01004833,Bolton 026C,Bolton,Working-age adults with no qualifications,162
E01004839,Bolton 026D,Bolton,Working-age adults with no qualifications,331
E01004814,Bolton 027A,Bolton,Working-age adults with no qualifications,211
E01004855,Bolton 027B,Bolton,Working-age adults with no qualifications,217
E01004856,Bolton 027C,Bolton,Working-age adults with no qualifications,251
E01004857,Bolton 027D,Bolton,Working-age adults with no qualifications,269
E01004891,Bolton 028A,Bolton,Working-age adults with no qualifications,121
E01004893,Bolton 028B,Bolton,Working-age adults with no qualifications,108
E01004894,Bolton 028C,Bolton,Working-age adults with no qualifications,160
E01004901,Bolton 028E,Bolton,Working-age adults with no qualifications,94
E01033218,Bolton 028F,Bolton,Working-age adults with no qualifications,63
E01033219,Bolton 028G,Bolton,Working-age adults with no qualifications,74
E01004816,Bolton 029A,Bolton,Working-age adults with no qualifications,256
E01004872,Bolton 029B,Bolton,Working-age adults with no qualifications,211
E01004873,Bolton 029C,Bolton,Working-age adults with no qualifications,288
E01004875,Bolton 029D,Bolton,Working-age adults with no qualifications,167
E01004880,Bolton 029E,Bolton,Working-age adults with no qualifications,125
E01004892,Bolton 030A,Bolton,Working-age adults with no qualifications,95
E01004896,Bolton 030B,Bolton,Working-age adults with no qualifications,77
E01004899,Bolton 030C,Bolton,Working-age adults with no qualifications,144
E01004900,Bolton 030D,Bolton,Working-age adults with no qualifications,126
E01004776,Bolton 031A,Bolton,Working-age adults with no qualifications,212
E01004895,Bolton 031B,Bolton,Working-age adults with no qualifications,191
E01004936,Bolton 031C,Bolton,Working-age adults with no qualifications,179
E01004938,Bolton 031D,Bolton,Working-age adults with no qualifications,249
E01004939,Bolton 031E,Bolton,Working-age adults with no qualifications,214
E01004858,Bolton 032A,Bolton,Working-age adults with no qualifications,227
E01004859,Bolton 032B,Bolton,Working-age adults with no qualifications,239
E01004860,Bolton 032C,Bolton,Working-age adults with no qualifications,233
E01004902,Bolton 032D,Bolton,Working-age adults with no qualifications,217
E01004906,Bolton 032E,Bolton,Working-age adults with no qualifications,243
E01004861,Bolton 033A,Bolton,Working-age adults with no qualifications,306
E01004862,Bolton 033B,Bolton,Working-age adults with no qualifications,265
E01004863,Bolton 033C,Bolton,Working-age adults with no qualifications,316
E01004874,Bolton 033D,Bolton,Working-age adults with no qualifications,201
E01004876,Bolton 033E,Bolton,Working-age adults with no qualifications,281
E01004903,Bolton 034A,Bolton,Working-age adults with no qualifications,135
E01004904,Bolton 034B,Bolton,Working-age adults with no qualifications,138
E01004905,Bolton 034C,Bolton,Working-age adults with no qualifications,204
E01004907,Bolton 034D,Bolton,Working-age adults with no qualifications,228
E01004908,Bolton 034E,Bolton,Working-age adults with no qualifications,116
E01004909,Bolton 034F,Bolton,Working-age adults with no qualifications,160
E01004910,Bolton 034G,Bolton,Working-age adults with no qualifications,223
E01004933,Bolton 035A,Bolton,Working-age adults with no qualifications,98
E01004934,Bolton 035B,Bolton,Working-age adults with no qualifications,137
E01004935,Bolton 035C,Bolton,Working-age adults with no qualifications,131
E01004937,Bolton 035D,Bolton,Working-age adults with no qualifications,106
E01004940,Bolton 035E,Bolton,Working-age adults with no qualifications,131
E01005014,Bury 001A,Bury,Working-age adults with no qualifications,105
E01005015,Bury 001B,Bury,Working-age adults with no qualifications,169
E01005016,Bury 001C,Bury,Working-age adults with no qualifications,101
E01005017,Bury 001D,Bury,Working-age adults with no qualifications,97
E01005018,Bury 001E,Bury,Working-age adults with no qualifications,127
E01005021,Bury 001F,Bury,Working-age adults with no qualifications,55
E01005019,Bury 002A,Bury,Working-age adults with no qualifications,95
E01005023,Bury 002B,Bury,Working-age adults with no qualifications,83
E01005046,Bury 002C,Bury,Working-age adults with no qualifications,48
E01005048,Bury 002D,Bury,Working-age adults with no qualifications,71
E01005020,Bury 003A,Bury,Working-age adults with no qualifications,49
E01005022,Bury 003B,Bury,Working-age adults with no qualifications,57
E01005047,Bury 003C,Bury,Working-age adults with no qualifications,64
E01005049,Bury 003D,Bury,Working-age adults with no qualifications,91
E01005051,Bury 003E,Bury,Working-age adults with no qualifications,80
E01004976,Bury 004A,Bury,Working-age adults with no qualifications,202
E01004977,Bury 004B,Bury,Working-age adults with no qualifications,153
